,Date,Start (ET),Visitor/Neutral,VisitorScore,Home/Neutral,HomeScore,Attend.,Arena,season,players
23,2019-10-25,10:00p,Portland Trail Blazers,122,Sacramento Kings,112,17583.0,Golden 1 Center,2020,"[[['Damian Lillard', 'CJ McCollum', 'Zach Collins', 'Rodney Hood', 'Hassan Whiteside'], ['Kent Bazemore', 'Anfernee Simons', 'Mario Hezonja']], [[""De'Aaron Fox"", 'Harrison Barnes', 'Buddy Hield', 'Nemanja Bjelica', 'Dewayne Dedmon'], ['Bogdan Bogdanović', 'Trevor Ariza', 'Richaun Holmes']]]"
24,2019-10-25,10:30p,Utah Jazz,86,Los Angeles Lakers,95,18997.0,STAPLES Center,2020,"[[['Donovan Mitchell', 'Rudy Gobert', 'Mike Conley', 'Joe Ingles', 'Jeff Green'], [""Royce O'Neale"", 'Georges Niang', 'Emmanuel Mudiay']], [['Anthony Davis', 'LeBron James', 'Danny Green', 'Avery Bradley', 'JaVale McGee'], ['Troy Daniels', 'Quinn Cook', 'Kentavious Caldwell-Pope']]]"
25,2019-10-26,5:00p,Miami Heat,131,Milwaukee Bucks,126,17467.0,Fiserv Forum,2020,"[[['Justise Winslow', 'Bam Adebayo', 'Tyler Herro', 'Kendrick Nunn', 'Meyers Leonard'], ['Goran Dragić', 'Kelly Olynyk', 'Duncan Robinson']], [['Khris Middleton', 'Giannis Antetokounmpo', 'Brook Lopez', 'Eric Bledsoe', 'Wesley Matthews'], ['George Hill', 'Ersan İlyasova', 'Kyle Korver']]]"
26,2019-10-26,7:00p,Philadelphia 76ers,117,Detroit Pistons,111,16207.0,Little Caesars Arena,2020,"[[['Josh Richardson', 'Tobias Harris', 'Ben Simmons', 'Al Horford', 'Matisse Thybulle'], ['Mike Scott', ""Kyle O'Quinn"", 'Shake Milton']], [['Markieff Morris', 'Tony Snell', 'Andre Drummond', 'Tim Frazier', 'Bruce Brown'], ['Luke Kennard', 'Derrick Rose', 'Langston Galloway']]]"
27,2019-10-26,7:30p,Orlando Magic,99,Atlanta Hawks,103,17078.0,State Farm Arena,2020,"[[['Nikola Vučević', 'Aaron Gordon', 'Evan Fournier', 'Jonathan Isaac', 'D.J. Augustin'], ['Markelle Fultz', 'Terrence Ross', 'Al-Farouq Aminu']], [['Trae Young', 'John Collins', 'Cam Reddish', ""De'Andre Hunter"", 'Alex Len'], [""DeAndre' Bembry"", 'Kevin Huerter', 'Jabari Parker']]]"
28,2019-10-26,7:30p,Boston Celtics,118,New York Knicks,95,19812.0,Madison Square Garden (IV),2020,"[[['Jayson Tatum', 'Kemba Walker', 'Jaylen Brown', 'Gordon Hayward', 'Robert Williams'], ['Marcus Smart', 'Carsen Edwards', 'Grant Williams']], [['RJ Barrett', 'Elfrid Payton', 'Julius Randle', 'Marcus Morris', 'Mitchell Robinson'], ['Bobby Portis', 'Kevin Knox', 'Allonzo Trier']]]"
29,2019-10-26,8:00p,Toronto Raptors,108,Chicago Bulls,84,21498.0,United Center,2020,"[[['Kyle Lowry', 'Fred VanVleet', 'Pascal Siakam', 'OG Anunoby', 'Marc Gasol'], ['Norman Powell', 'Serge Ibaka', 'Matt Thomas']], [['Lauri Markkanen', 'Zach LaVine', 'Tomáš Satoranský', 'Wendell Carter Jr.', 'Otto Porter Jr.'], ['Coby White', 'Kris Dunn', 'Ryan Arcidiacono']]]"
30,2019-10-26,8:00p,Indiana Pacers,99,Cleveland Cavaliers,110,19432.0,Rocket Mortgage Fieldhouse,2020,"[[['Myles Turner', 'T.J. Warren', 'Malcolm Brogdon', 'Domantas Sabonis', 'Edmond Sumner'], ['Justin Holiday', 'T.J. McConnell', 'T.J. Leaf']], [['Tristan Thompson', 'Kevin Love', 'Collin Sexton', 'Darius Garland', 'Cedi Osman'], ['Kevin Porter Jr.', 'Larry Nance Jr.', 'Matthew Dellavedova']]]"
31,2019-10-26,8:00p,New Orleans Pelicans,123,Houston Rockets,126,18055.0,Toyota Center,2020,"[[['Brandon Ingram', 'Lonzo Ball', 'Josh Hart', 'JJ Redick', 'Derrick Favors'], ['Kenrich Williams', 'Frank Jackson', 'Nickeil Alexander-Walker']], [['P.J. Tucker', 'James Harden', 'Russell Westbrook', 'Danuel House Jr.', 'Clint Capela'], ['Eric Gordon', 'Austin Rivers', 'Thabo Sefolosha']]]"
32,2019-10-26,8:30p,Washington Wizards,122,San Antonio Spurs,124,18354.0,AT&T Center,2020,"[[['Bradley Beal', 'Rui Hachimura', 'Thomas Bryant', 'Ish Smith', 'Isaac Bonga'], ['Dāvis Bertāns', 'Isaiah Thomas', 'Moritz Wagner']], [['DeMar DeRozan', 'LaMarcus Aldridge', 'Bryn Forbes', 'Dejounte Murray', 'Trey Lyles'], ['Rudy Gay', 'Derrick White', 'Patty Mills']]]"
33,2019-10-26,9:00p,Sacramento Kings,81,Utah Jazz,113,18306.0,Vivint Smart Home Arena,2020,"[[['Dewayne Dedmon', 'Harrison Barnes', ""De'Aaron Fox"", 'Buddy Hield', 'Nemanja Bjelica'], ['Cory Joseph', 'Bogdan Bogdanović', 'Trevor Ariza']], [['Donovan Mitchell', 'Rudy Gobert', 'Bojan Bogdanović', 'Mike Conley', ""Royce O'Neale""], ['Joe Ingles', 'Emmanuel Mudiay', 'Ed Davis']]]"
34,2019-10-26,10:00p,Los Angeles Clippers,122,Phoenix Suns,130,15802.0,Talking Stick Resort Arena,2020,"[[['Landry Shamet', 'Kawhi Leonard', 'Patrick Patterson', 'Patrick Beverley', 'Ivica Zubac'], ['Montrezl Harrell', 'Lou Williams', 'Maurice Harkless']], [['Devin Booker', 'Dario Šarić', 'Jevon Carter', 'Aron Baynes', 'Kelly Oubre Jr.'], ['Frank Kaminsky', 'Mikal Bridges', 'Tyler Johnson']]]"
35,2019-10-27,3:30p,Golden State Warriors,92,Oklahoma City Thunder,120,18203.0,Chesapeake Energy Arena,2020,"[[['Stephen Curry', 'Draymond Green', 'Marquese Chriss', ""D'Angelo Russell"", 'Glenn Robinson III'], ['Omari Spellman', 'Eric Paschall', 'Jordan Poole']], [['Terrance Ferguson', 'Shai Gilgeous-Alexander', 'Steven Adams', 'Danilo Gallinari', 'Chris Paul'], ['Darius Bazley', 'Dennis Schröder', 'Nerlens Noel']]]"
36,2019-10-27,6:00p,Brooklyn Nets,133,Memphis Grizzlies,134,15517.0,FedEx Forum,2020,"[[['Caris LeVert', 'Joe Harris', 'Kyrie Irving', 'Taurean Prince', 'DeAndre Jordan'], ['Spencer Dinwiddie', 'Jarrett Allen', 'Garrett Temple']], [['Jae Crowder', 'Dillon Brooks', 'Ja Morant', 'Jaren Jackson Jr.', 'Jonas Valančiūnas'], ['Brandon Clarke', 'Solomon Hill', 'Kyle Anderson']]]"
37,2019-10-27,7:00p,Portland Trail Blazers,121,Dallas Mavericks,119,19707.0,American Airlines Center,2020,"[[['CJ McCollum', 'Damian Lillard', 'Rodney Hood', 'Hassan Whiteside', 'Zach Collins'], ['Kent Bazemore', 'Mario Hezonja', 'Anfernee Simons']], [['Luka Dončić', 'Kristaps Porziņģis', 'Jalen Brunson', 'Maxi Kleber', 'Delon Wright'], ['Dorian Finney-Smith', 'Seth Curry', 'Tim Hardaway Jr.']]]"
38,2019-10-27,7:00p,Miami Heat,109,Minnesota Timberwolves,116,17049.0,Target Center,2020,"[[['Justise Winslow', 'Kendrick Nunn', 'Tyler Herro', 'Bam Adebayo', 'Meyers Leonard'], ['Goran Dragić', 'Duncan Robinson', 'Kelly Olynyk']], [['Andrew Wiggins', 'Karl-Anthony Towns', 'Jeff Teague', 'Robert Covington', 'Treveon Graham'], ['Jake Layman', 'Josh Okogie', 'Shabazz Napier']]]"
39,2019-10-27,9:30p,Charlotte Hornets,101,Los Angeles Lakers,120,18997.0,STAPLES Center,2020,"[[['Miles Bridges', 'Dwayne Bacon', 'P.J. Washington', 'Terry Rozier', 'Cody Zeller'], [""Devonte' Graham"", 'Marvin Williams', 'Malik Monk']], [['LeBron James', 'Anthony Davis', 'Avery Bradley', 'Danny Green', 'JaVale McGee'], ['Quinn Cook', 'Dwight Howard', 'Kentavious Caldwell-Pope']]]"
40,2019-10-28,7:00p,Chicago Bulls,98,New York Knicks,105,19812.0,Madison Square Garden (IV),2020,"[[['Zach LaVine', 'Otto Porter Jr.', 'Lauri Markkanen', 'Wendell Carter Jr.', 'Tomáš Satoranský'], ['Thaddeus Young', 'Kris Dunn', 'Luke Kornet']], [['RJ Barrett', 'Julius Randle', 'Marcus Morris', 'Elfrid Payton', 'Mitchell Robinson'], ['Bobby Portis', 'Frank Ntilikina', 'Wayne Ellington']]]"
41,2019-10-28,7:00p,Indiana Pacers,94,Detroit Pistons,96,13565.0,Little Caesars Arena,2020,"[[['Myles Turner', 'Domantas Sabonis', 'T.J. Warren', 'Malcolm Brogdon', 'Edmond Sumner'], ['Justin Holiday', 'Doug McDermott', 'T.J. McConnell']], [['Andre Drummond', 'Luke Kennard', 'Markieff Morris', 'Tony Snell', 'Tim Frazier'], ['Bruce Brown', 'Derrick Rose', 'Christian Wood']]]"
42,2019-10-28,7:30p,Orlando Magic,95,Toronto Raptors,104,19800.0,Scotiabank Arena,2020,"[[['Jonathan Isaac', 'Aaron Gordon', 'Evan Fournier', 'D.J. Augustin', 'Nikola Vučević'], ['Markelle Fultz', 'Terrence Ross', 'Al-Farouq Aminu']], [['Fred VanVleet', 'OG Anunoby', 'Kyle Lowry', 'Pascal Siakam', 'Marc Gasol'], ['Serge Ibaka', 'Norman Powell', 'Patrick McCaw']]]"
43,2019-10-28,7:30p,Philadelphia 76ers,105,Atlanta Hawks,103,14094.0,State Farm Arena,2020,"[[['Tobias Harris', 'Ben Simmons', 'Joel Embiid', 'Al Horford', 'Josh Richardson'], ['Matisse Thybulle', 'Shake Milton', 'Furkan Korkmaz']], [['Trae Young', ""De'Andre Hunter"", 'John Collins', 'Cam Reddish', 'Alex Len'], ['Jabari Parker', ""DeAndre' Bembry"", 'Kevin Huerter']]]"
44,2019-10-28,8:00p,Oklahoma City Thunder,112,Houston Rockets,116,18055.0,Toyota Center,2020,"[[['Shai Gilgeous-Alexander', 'Danilo Gallinari', 'Chris Paul', 'Steven Adams', 'Terrance Ferguson'], ['Dennis Schröder', 'Nerlens Noel', 'Hamidou Diallo']], [['Danuel House Jr.', 'James Harden', 'Russell Westbrook', 'P.J. Tucker', 'Clint Capela'], ['Eric Gordon', 'Austin Rivers', 'Thabo Sefolosha']]]"
45,2019-10-28,8:00p,Cleveland Cavaliers,112,Milwaukee Bucks,129,17385.0,Fiserv Forum,2020,"[[['Tristan Thompson', 'Kevin Love', 'Collin Sexton', 'Cedi Osman', 'Darius Garland'], ['Jordan Clarkson', 'Larry Nance Jr.', 'Matthew Dellavedova']], [['Giannis Antetokounmpo', 'Khris Middleton', 'Wesley Matthews', 'Brook Lopez', 'Eric Bledsoe'], ['Pat Connaughton', 'Ersan İlyasova', 'George Hill']]]"
46,2019-10-28,8:00p,Golden State Warriors,134,New Orleans Pelicans,123,17307.0,Smoothie King Center,2020,"[[['Draymond Green', ""D'Angelo Russell"", 'Stephen Curry', 'Glenn Robinson III', 'Jordan Poole'], ['Damion Lee', 'Eric Paschall', 'Omari Spellman']], [['Josh Hart', 'Lonzo Ball', 'Brandon Ingram', 'JJ Redick', 'Jahlil Okafor'], ['Kenrich Williams', 'Nickeil Alexander-Walker', 'Jaxson Hayes']]]"
47,2019-10-28,8:30p,Portland Trail Blazers,110,San Antonio Spurs,113,18083.0,AT&T Center,2020,"[[['Damian Lillard', 'CJ McCollum', 'Rodney Hood', 'Anthony Tolliver', 'Hassan Whiteside'], ['Kent Bazemore', 'Anfernee Simons', 'Mario Hezonja']], [['LaMarcus Aldridge', 'DeMar DeRozan', 'Bryn Forbes', 'Trey Lyles', 'Dejounte Murray'], ['Derrick White', 'Patty Mills', 'Rudy Gay']]]"
48,2019-10-28,10:00p,Utah Jazz,96,Phoenix Suns,95,14805.0,Talking Stick Resort Arena,2020,"[[['Bojan Bogdanović', 'Donovan Mitchell', 'Rudy Gobert', ""Royce O'Neale"", 'Mike Conley'], ['Joe Ingles', 'Emmanuel Mudiay', 'Jeff Green']], [['Kelly Oubre Jr.', 'Devin Booker', 'Ricky Rubio', 'Aron Baynes', 'Dario Šarić'], ['Frank Kaminsky', 'Jevon Carter', 'Tyler Johnson']]]"
49,2019-10-28,10:00p,Denver Nuggets,101,Sacramento Kings,94,15870.0,Golden 1 Center,2020,"[[['Jamal Murray', 'Gary Harris', 'Will Barton', 'Nikola Jokić', 'Paul Millsap'], ['Jerami Grant', 'Malik Beasley', 'Mason Plumlee']], [[""De'Aaron Fox"", 'Nemanja Bjelica', 'Buddy Hield', 'Harrison Barnes', 'Dewayne Dedmon'], ['Richaun Holmes', 'Trevor Ariza', 'Bogdan Bogdanović']]]"
50,2019-10-28,10:30p,Charlotte Hornets,96,Los Angeles Clippers,111,19068.0,STAPLES Center,2020,"[[['Miles Bridges', 'Terry Rozier', 'P.J. Washington', 'Cody Zeller', 'Dwayne Bacon'], [""Devonte' Graham"", 'Malik Monk', 'Marvin Williams']], [['Landry Shamet', 'Patrick Beverley', 'Kawhi Leonard', 'Patrick Patterson', 'Ivica Zubac'], ['Lou Williams', 'Montrezl Harrell', 'JaMychal Green']]]"
51,2019-10-29,7:30p,Atlanta Hawks,97,Miami Heat,112,19600.0,AmericanAirlines Arena,2020,"[[['John Collins', ""De'Andre Hunter"", 'Cam Reddish', 'Alex Len', 'Trae Young'], [""DeAndre' Bembry"", 'Jabari Parker', 'Kevin Huerter']], [['Bam Adebayo', 'Jimmy Butler', 'Justise Winslow', 'Kendrick Nunn', 'Meyers Leonard'], ['Goran Dragić', 'Tyler Herro', 'Kelly Olynyk']]]"
